symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,industry
CTB,0.0565,0.0805,0.0587,0.1269,0.0966,0.0889,0.081,0.1133,0.1603,0.1277,Hàng & Dịch vụ Công nghiệp
CTD,0.226,0.2281,0.2262,0.1897,0.0839,0.0543,0.0029,0.0022,0.0055,0.0306,Xây dựng và Vật liệu
CTF,0.0335,0.0466,0.0315,0.0673,0.033,0.0015,0.035,0.0526,0.0135,0.0136,Ô tô và phụ tùng
CTG,0.0393,0.0522,0.0462,0.0343,0.0607,0.0784,0.0724,0.063,0.0545,0.075,Ngân hàng
CTI,0.0252,0.0322,0.0389,0.032,0.021,0.0233,-0.0031,0.0241,0.0207,0.0308,Xây dựng và Vật liệu
CTP,0.0531,0.0924,0.1153,0.0455,0.0428,0.0108,0.0069,0.0048,0.0007,0.0028,Thực phẩm và đồ uống
CTR,0.1599,0.1536,0.1525,0.1894,0.2052,0.2471,0.2516,0.1433,0.1448,0.1542,Xây dựng và Vật liệu
CTS,0.0773,0.0638,0.0654,0.0778,0.0546,0.0356,0.0654,0.0144,0.0226,0.0269,Dịch vụ tài chính
CTT,0.0149,0.015,0.0233,0.0312,0.0276,0.0359,0.0397,0.0404,0.0828,0.1406,Hàng & Dịch vụ Công nghiệp
CTW,0.0557,0.0964,0.0855,0.0726,0.0857,0.0876,0.0734,0.0619,0.0628,0.14,"Điện, nước & xăng dầu khí đốt"
CTX,0.0147,0.0048,0.1665,0.006,0.1517,-0.0114,0.0001,0.005,0.0307,0.0096,Xây dựng và Vật liệu
CVN,0.0146,-0.0046,0.0334,0.2505,0.3345,0.1922,0.0795,0.0177,0.0248,0.003,Y tế
CVT,0.084,0.1939,0.185,0.1571,0.1833,0.1065,0.045,0.0358,0.0147,0.0223,Xây dựng và Vật liệu
CX8,0.0389,0.0334,0.0353,0.0391,0.0184,0.0034,0.0012,0.0101,0.0071,0.0108,Xây dựng và Vật liệu
CYC,-0.1695,-0.0521,-0.0936,-0.4314,-0.1269,-0.1477,-0.7252,-0.1595,-0.2581,-1.144,Xây dựng và Vật liệu
D11,0.0261,0.0105,0.0155,0.0724,0.1539,0.1473,0.201,0.1129,0.0247,0.02,Bất động sản
D2D,0.14,0.1377,0.1774,0.1989,0.4958,0.2766,0.2213,0.0171,0.0275,0.1181,Bất động sản
DAC,-0.317,0.0818,0.226,0.0146,-0.0506,-0.1944,-0.2466,-0.7294,-0.4787,-1.6766,Xây dựng và Vật liệu
DAD,0.1568,0.1759,0.111,0.1592,0.143,0.1616,0.1514,0.1531,0.144,0.1172,Truyền thông
DAE,0.1664,0.1528,0.1553,0.1468,0.1304,0.1181,0.1283,0.0733,0.0765,0.0756,Truyền thông
DAH,0.0157,0.044,0.0405,0.0132,0.001,-0.0579,0.0326,0.0394,0.0035,0.0064,Du lịch và Giải trí
DAN,0.1243,0.1313,0.1078,0.0818,0.0417,0.0505,0.0705,0.0544,0.0719,0.0558,Y tế
DAS,0.0132,0.0263,0.0179,0.0106,0.0242,0.0113,0.0034,0.0328,0.0497,0.0286,Ô tô và phụ tùng
DAT,0.025,0.0231,0.0204,0.0391,0.0409,0.0324,0.0235,0.05,0.0477,0.0406,Thực phẩm và đồ uống
DBC,0.0682,0.097,0.0344,0.0534,0.0397,0.184,0.1041,0.0006,0.0024,0.0617,Thực phẩm và đồ uống
DBD,0.3351,0.1731,0.164,0.1691,0.1231,0.1538,0.1539,0.1709,0.1784,0.1597,Y tế
DBM,0.1421,0.1238,0.1243,0.1177,0.1211,0.1109,0.1163,0.0927,0.0811,0.0413,Y tế
DBT,0.0726,0.0674,0.0601,0.0459,0.0455,0.0198,0.0297,0.0638,0.0241,0.0148,Y tế
DC1,0.0895,0.2406,0.077,0.076,0.0612,0.1025,0.0503,0.0169,-0.0097,0.0449,Xây dựng và Vật liệu
DC2,0.0058,0.0586,0.0418,-0.2648,0.0809,0.069,0.0314,0.0111,0.0033,0.0223,Xây dựng và Vật liệu
DC4,0.0325,0.0489,0.0451,0.0828,0.0627,0.0803,0.0566,-0.0027,0.1051,0.0927,Xây dựng và Vật liệu
DCF,0.0488,0.0722,0.002,-0.0971,-0.0082,0.0386,0.0103,0.0181,0.0178,0.0591,Xây dựng và Vật liệu
DCH,0.0471,0.0998,0.0883,0.0625,0.0456,0.0294,0.0008,0.0153,0.0151,0.0292,Bất động sản
DCL,0.0847,0.1167,0.0688,0.0105,0.0735,0.0543,0.0577,0.0593,0.0299,0.024,Y tế
DCM,0.0535,0.0531,0.0589,0.0734,0.0542,0.093,0.2235,0.4073,0.1027,0.1239,Hóa chất
DCR,0.0562,0.0217,0.0033,0.002,0.0166,0.0122,0.0204,0.0302,0.0005,0.001,Xây dựng và Vật liệu
DDG,-0.0019,0.0395,0.0351,0.0268,0.0313,0.0201,0.0281,0.0264,-0.153,-0.047,"Điện, nước & xăng dầu khí đốt"
DDH,0.0128,0.0151,0.0245,0.0186,0.3203,0.0666,0.0121,0.1514,0.1327,0.0442,Hàng & Dịch vụ Công nghiệp
DDN,0.0516,0.0627,0.0631,0.0635,0.0809,0.0741,0.0726,0.058,0.004,0.021,Y tế
DDV,0.0183,-0.295,0.0107,0.1319,0.0033,0.0123,0.1273,0.1841,0.0405,0.0947,Hóa chất
DFC,0.1129,0.1156,0.0724,0.0685,0.0534,0.05,0.0012,0.0596,0.0756,0.1067,Tài nguyên Cơ bản
DGC,0.2557,0.1825,0.1927,0.203,0.1365,0.1817,0.3504,0.5342,0.2427,0.2133,Hóa chất
DGT,0.0058,0.002,0.0003,0.0004,0.0035,0.1827,0.0387,-0.0328,0.0702,0.0032,Xây dựng và Vật liệu
DGW,0.0982,0.0686,0.0599,0.0683,0.1058,0.1427,0.2259,0.1561,0.0732,0.0816,Bán lẻ
DHA,0.138,0.1485,0.1642,0.1731,0.1755,0.2292,0.1926,0.1183,0.2119,0.121,Xây dựng và Vật liệu
DHB,-0.071,-0.1141,-0.0716,-0.04,-0.0914,-0.2741,0.0002,0.5965,0.2452,0.002,Hóa chất
DHC,0.2245,0.1495,0.0754,0.0795,0.0999,0.2141,0.2328,0.1672,0.1211,0.0874,Tài nguyên Cơ bản
DHD,0.2533,0.1823,0.1408,0.075,0.054,0.06,0.0656,0.0638,0.0627,0.0772,Y tế
DHG,0.2123,0.2195,0.199,0.1759,0.1733,0.1954,0.194,0.2243,0.1937,0.1642,Y tế
DHM,0.0158,0.0355,0.0081,0.0136,0.0098,-0.1138,0.1511,0.0026,0.0084,0.0031,Tài nguyên Cơ bản
DHN,0.0992,0.114,0.1062,0.1012,0.1096,0.1143,0.1459,0.1595,0.1857,0.1751,Y tế
DHP,0.2705,0.0673,0.0649,0.0914,0.0639,0.0692,0.0663,0.0702,0.0662,0.0741,Hàng & Dịch vụ Công nghiệp
DHT,0.1241,0.1542,0.1601,0.1803,0.1898,0.1735,0.0685,0.0871,0.0566,0.0492,Y tế
DIC,0.0184,0.0112,0.0068,0.0017,-0.0577,-0.0793,0.0001,-0.0531,0.0003,-0.0144,Xây dựng và Vật liệu
DID,0.0174,0.0254,0.0105,0.0385,0.0199,0.01,0.0032,0.0017,0.0011,0.0054,Xây dựng và Vật liệu
DIG,0.0034,0.0145,0.0435,0.0688,0.0696,0.1018,0.0787,0.0164,0.0101,0.0086,Bất động sản
DIH,0.0339,0.0353,0.0169,0.009,0.0079,0.003,0.0015,0.0075,0.0216,0.0242,Xây dựng và Vật liệu
DL1,0.0803,0.0507,0.011,0.011,0.0125,0.0072,0.0233,0.0235,0.0308,0.0117,Hàng & Dịch vụ Công nghiệp
DLD,0.0004,-0.0158,-0.0172,-0.0405,-0.0465,-0.0965,-0.1369,-0.1011,-0.0967,-0.1325,Du lịch và Giải trí
DLG,0.015,0.0106,0.0082,0.002,-0.001,-0.1425,0.0021,-0.2934,-0.1733,0.08,Xây dựng và Vật liệu
DLT,0.0216,0.027,0.0267,0.0393,0.0532,0.0299,0.0441,0.0257,0.0219,0.0165,Du lịch và Giải trí
DMC,0.1784,0.1909,0.2179,0.1984,0.1858,0.137,0.1166,0.1371,0.1206,0.1257,Y tế
DNA,0.0573,0.0587,0.0557,0.0498,0.0594,0.1129,0.0956,0.1007,0.1151,0.1473,"Điện, nước & xăng dầu khí đốt"
DNC,0.1999,0.2112,0.2242,0.2769,0.3034,0.2516,0.2744,0.2731,0.3065,0.2853,"Điện, nước & xăng dầu khí đốt"
DND,0.0317,0.0414,0.0636,0.1775,0.0903,0.0951,0.0705,-0.2172,0.0532,-0.0421,Xây dựng và Vật liệu
DNE,0.0,0.1284,0.1008,0.1661,0.1742,0.1614,0.1404,0.0754,0.067,0.0768,Hàng & Dịch vụ Công nghiệp
DNH,0.0891,0.064,0.0895,0.1584,0.1172,0.0824,0.1603,0.1818,0.1655,0.1361,"Điện, nước & xăng dầu khí đốt"
DNL,0.1004,0.1161,0.1094,0.1277,0.1642,0.1541,0.1502,0.0863,0.1145,0.0981,Hàng & Dịch vụ Công nghiệp
DNM,0.138,0.154,0.0895,0.0307,0.0555,0.0785,0.0629,-0.3774,-0.28,-0.0014,Y tế
DNN,0.1506,0.118,0.1487,0.1705,0.1828,0.1319,0.1074,0.1203,0.1184,0.0822,"Điện, nước & xăng dầu khí đốt"
DNP,0.0796,0.047,0.0242,0.0021,0.0041,0.0033,0.002,0.0077,0.0106,0.0133,Xây dựng và Vật liệu
DNT,0.1295,0.1139,0.2299,0.1633,0.1572,0.0831,-0.0495,0.164,0.1169,0.1015,Du lịch và Giải trí
DNW,0.0472,0.023,0.0144,0.0354,0.0468,0.048,0.1135,0.114,0.1019,0.1059,"Điện, nước & xăng dầu khí đốt"
DOC,0.0368,0.0466,0.058,0.035,0.0126,0.021,0.1277,0.1562,0.0443,0.0374,Hóa chất
DOP,0.1164,0.1282,0.1317,0.0998,0.0915,0.0932,0.0857,0.0985,0.1522,0.1138,Hàng & Dịch vụ Công nghiệp
DP1,0.0,0.0378,0.0311,0.0317,0.0505,0.0608,0.07,0.0913,0.1689,0.1342,Y tế
DP2,0.0001,-0.0422,0.0,-0.044,-0.0392,-0.0914,-0.074,-0.109,-0.125,-0.0304,Y tế
DP3,0.113,0.1427,0.239,0.4187,0.2666,0.3242,0.2522,0.2575,0.263,0.2335,Y tế
DPC,0.0488,0.0745,0.0993,0.0556,0.0805,0.095,0.0753,-0.2002,-0.1049,-0.0269,Hàng & Dịch vụ Công nghiệp
DPG,0.1071,0.079,0.0643,0.0437,0.0603,0.0622,0.1001,0.1067,0.0578,0.0599,Xây dựng và Vật liệu
DPH,0.0929,0.1176,0.1099,0.1135,0.1066,0.1167,0.0995,0.1149,0.1194,0.1045,Y tế
DPM,0.1734,0.1415,0.0816,0.0751,0.0414,0.0756,0.2731,0.3793,0.0459,0.038,Hóa chất
DPP,0.1099,0.1018,0.1187,0.1036,0.1115,0.1281,0.1419,0.1193,0.148,0.1553,Y tế
DPR,0.0521,0.055,0.0788,0.0873,0.0741,0.0831,0.165,0.0971,0.0831,0.1001,Hóa chất
DQC,0.1934,0.1704,0.087,0.0684,0.0274,0.0175,0.0211,0.013,-0.0292,-0.1303,Hàng cá nhân & Gia dụng
DRC,0.1531,0.1589,0.0675,0.0569,0.1083,0.1287,0.1239,0.1183,0.1009,0.0806,Ô tô và phụ tùng
DRH,0.0545,0.0868,0.0828,0.0548,0.0554,0.038,0.0102,0.0003,-0.0455,-0.0988,Bất động sản
DRI,-0.001,0.0158,0.1005,0.0347,0.0315,0.0226,0.0869,0.1127,0.1264,0.1777,Hóa chất
DRL,0.3185,0.2647,0.4532,0.4051,0.5111,0.4336,0.4599,0.5343,0.4946,0.3947,"Điện, nước & xăng dầu khí đốt"
DS3,0.2375,0.0574,0.0863,0.0523,0.0646,0.0475,0.0646,-0.449,0.0269,0.0634,Hàng & Dịch vụ Công nghiệp
DSC,0.12,-0.0608,0.1736,0.2869,-0.0017,0.006,0.0139,0.0141,0.0294,0.0308,Dịch vụ tài chính
DSG,-0.1921,-0.3532,-0.5274,-0.0791,-0.0455,-0.0829,-0.5432,-0.2518,-0.6258,-1.8384,Xây dựng và Vật liệu
DSN,0.3733,0.3554,0.3837,0.3897,0.3839,0.1931,0.1325,0.4296,0.355,0.2928,Du lịch và Giải trí
DSP,0.1375,0.0038,0.0488,0.0504,0.0462,-0.1617,-0.0814,-0.0407,0.0025,-0.0224,Du lịch và Giải trí
DTA,0.0005,0.0008,0.0132,0.0132,0.0193,-0.0116,0.0344,0.023,0.0042,0.0047,Bất động sản
DTC,0.0616,0.1113,0.1166,0.0694,0.0437,0.0804,0.0128,-0.0272,-0.2049,-0.2581,Xây dựng và Vật liệu
DTD,0.0,0.0458,0.0821,0.1086,0.1419,0.2235,0.1975,0.1524,0.2497,0.1249,Bất động sản
DTG,0.0436,0.0731,0.0529,0.0575,0.0303,0.0232,0.0046,0.085,0.1165,0.0778,Y tế
DTH,0.036,0.039,0.0273,0.0058,0.0191,0.0101,0.0085,0.0102,0.0066,0.0108,Y tế
DTI,0.0026,0.0314,0.0007,0.0103,0.0094,0.0003,0.048,0.0292,0.0002,0.0007,Du lịch và Giải trí
DTK,-0.0206,0.0215,0.031,0.023,0.0309,0.0359,0.0578,0.0542,0.0421,0.0569,"Điện, nước & xăng dầu khí đốt"
DTL,-0.0354,0.0848,0.0972,-0.007,-0.0608,0.0017,0.0377,-0.0855,-0.0898,0.0025,Tài nguyên Cơ bản
DTP,-0.0042,0.0071,0.0737,0.2186,0.2391,0.0,0.1984,0.1668,0.2431,0.2267,Y tế
DTT,0.0405,0.0554,0.0293,0.031,0.0481,0.0574,0.0253,0.0615,0.0554,0.0704,Hóa chất
DUS,0.0713,0.0785,0.2175,0.1924,0.1952,0.1321,0.0285,0.153,-0.0369,-0.4103,Hàng & Dịch vụ Công nghiệp
DVC,0.1107,0.0988,0.0087,0.0248,0.0271,0.0251,0.0263,0.0263,0.0165,0.073,"Điện, nước & xăng dầu khí đốt"
DVN,0.0728,0.1348,0.059,0.0511,0.0566,0.0511,0.0516,0.0291,0.0908,0.0986,Y tế
DVP,0.2716,0.2943,0.2866,0.2699,0.2114,0.1852,0.2018,0.2049,0.2403,0.2258,Hàng & Dịch vụ Công nghiệp
DVW,0.1495,0.1382,0.1423,0.1517,0.1051,0.0971,0.1475,0.1762,0.1698,0.1759,Xây dựng và Vật liệu
DWS,0.0181,0.0061,0.0226,0.0837,0.0502,0.0584,0.0669,0.0737,0.088,0.1032,"Điện, nước & xăng dầu khí đốt"
DXG,0.2016,0.1574,0.1511,0.1901,0.1384,-0.0084,0.0893,0.0269,0.0077,0.0208,Bất động sản
DXL,0.0197,-0.0141,-0.0118,0.0028,0.0045,0.018,-0.001,0.0117,0.0003,-0.0383,Du lịch và Giải trí
DXP,0.2571,0.1269,0.0723,0.0923,0.1012,0.1221,0.1047,0.0615,0.0667,0.0563,Hàng & Dịch vụ Công nghiệp
DXV,0.0356,0.0479,0.0481,0.0013,-0.0587,0.001,0.0036,0.0018,-0.0813,-0.0585,Xây dựng và Vật liệu
DZM,-0.0122,0.0743,-0.1748,-0.1323,0.0134,0.0172,-0.1325,-0.0989,-0.1278,-0.0552,Hàng & Dịch vụ Công nghiệp
EBS,0.0672,0.0933,0.0944,0.093,0.0804,0.065,0.0868,0.0947,0.0817,0.0947,Truyền thông
ECI,0.0971,0.0919,0.093,0.1059,0.1253,0.1388,0.137,0.0599,-0.1522,-0.0128,Truyền thông
EFI,0.0379,0.0282,-0.7821,0.0066,0.0027,-0.0433,-0.0989,-0.1354,0.0069,0.023,Bất động sản
EIB,0.002,0.0163,0.0347,0.0232,0.0411,0.057,0.0481,0.121,0.0638,0.0687,Ngân hàng
EIC,0.001,0.0025,0.0031,0.004,0.0045,0.113,0.3284,0.2145,0.0998,0.1291,Xây dựng và Vật liệu
EID,0.1037,0.1036,0.109,0.1209,0.1288,0.139,0.1429,0.1984,0.1636,0.1577,Truyền thông
EIN,0.0039,0.0241,0.0003,0.006,0.0087,0.0221,0.0011,-0.0778,-0.0779,-0.0593,Du lịch và Giải trí
ELC,0.0792,0.1015,0.0485,0.0097,0.0344,0.034,0.0559,0.0401,0.0706,0.0773,Công nghệ Thông tin
EME,0.0426,0.0259,0.3356,0.0008,0.0005,0.0166,0.0601,0.064,0.0404,0.0396,Hàng & Dịch vụ Công nghiệp
EMG,0.1336,0.2159,0.1161,0.1255,0.1048,0.1209,0.1372,0.1336,0.1218,0.1147,Hàng & Dịch vụ Công nghiệp
EMS,0.1325,0.1681,0.209,0.2128,0.2368,0.2439,0.2481,0.2312,0.2142,0.2076,Hàng & Dịch vụ Công nghiệp
EPC,0.041,0.0515,0.0782,0.0163,-0.0865,0.001,-0.2077,-0.148,-0.1503,-0.08,Thực phẩm và đồ uống
EPH,0.1404,0.0945,0.0,0.1238,0.1276,0.149,0.1516,0.2246,0.2594,0.1638,Truyền thông
EVE,0.1123,0.088,0.0442,0.0698,0.0615,0.0411,0.0528,0.0698,0.015,-0.0248,Hàng cá nhân & Gia dụng
EVG,0.0473,0.0377,0.0725,0.0394,0.0248,0.0263,0.0152,0.0099,0.0097,0.0086,Xây dựng và Vật liệu
EVS,-0.1579,-0.4542,0.4131,0.06,0.0109,0.0735,0.2124,0.0356,0.0153,0.0071,Dịch vụ tài chính
FBC,0.0777,0.0932,0.2013,0.2349,0.3642,0.3995,0.2902,0.4595,0.4839,0.6513,Hàng & Dịch vụ Công nghiệp
FCC,0.0274,-0.2346,-0.2795,-0.1528,-0.3203,-2.7951,-0.112,0.2784,0.0592,0.3138,Bất động sản
FCM,0.0294,0.0485,0.0352,0.0465,0.0608,0.0407,0.0193,0.0306,0.0225,0.0019,Xây dựng và Vật liệu
FCN,0.0912,0.0816,0.0786,0.0884,0.064,0.0349,0.0131,0.0083,-0.0067,0.0041,Xây dựng và Vật liệu
FCS,0.0175,-0.065,-0.3955,-0.2007,-0.1312,-0.4489,-0.3173,0.0017,0.016,-0.024,Thực phẩm và đồ uống
FDC,0.1164,-0.0353,0.0223,-0.0518,0.0915,-0.0078,0.0147,-0.4441,0.0016,0.009,Bất động sản
FGL,0.0641,0.0037,-0.0797,0.008,-0.1324,-0.2674,0.0031,-0.1794,-0.1052,-0.2969,Thực phẩm và đồ uống
FHN,0.0116,0.0255,0.0448,0.0256,0.0327,0.0297,0.0025,0.0246,0.0183,0.0191,Bán lẻ
FHS,0.1641,0.1248,0.1495,0.1522,0.159,0.0863,0.0004,0.2088,0.2789,0.26,Truyền thông
FIC,0.0223,0.0909,0.0742,0.0587,0.0097,0.0246,0.0423,0.0497,0.0237,0.0347,Xây dựng và Vật liệu
FID,0.1177,0.014,0.0107,0.0007,0.0,-0.0084,0.0039,0.0003,-0.0898,0.0272,Xây dựng và Vật liệu
FIR,0.0799,0.1064,0.1043,0.2991,0.2903,0.1198,0.0816,0.1072,0.0165,0.0005,Bất động sản
FIT,0.1133,0.0352,0.0247,-0.0021,0.0203,0.0185,0.0418,0.0106,-0.0105,0.0241,Y tế
FMC,0.0803,0.0672,0.0787,0.1408,0.1783,0.1483,0.12,0.122,0.0989,0.1255,Thực phẩm và đồ uống
FOC,0.3087,0.4313,0.4084,0.3048,0.3589,0.2494,0.3409,0.3431,0.1606,0.1632,Truyền thông
FOX,0.1814,0.1759,0.2161,0.1516,0.1557,0.1534,0.1189,0.1724,0.1616,0.1657,Viễn thông
FPT,0.1284,0.1204,0.1969,0.1488,0.1581,0.1411,0.1289,0.172,0.1771,0.186,Công nghệ Thông tin
FRC,0.0017,0.0,0.0955,0.1781,0.1257,0.1451,0.1625,0.0913,0.002,0.0698,Tài nguyên Cơ bản
FRM,0.0636,0.0173,0.0529,0.0618,0.036,0.0632,0.0336,0.0496,0.0818,0.0387,Tài nguyên Cơ bản
FRT,0.0731,0.0703,0.1472,0.0847,0.0409,0.0028,0.0575,0.0537,-0.0335,0.0374,Bán lẻ
FSO,0.0374,0.0749,-0.0334,0.0175,-0.017,-0.0614,0.0146,0.0127,-0.0152,0.0232,Hàng & Dịch vụ Công nghiệp
FT1,0.2572,0.2532,0.2527,0.2527,0.3144,0.3237,0.3447,0.4454,0.4333,0.4713,Hàng & Dịch vụ Công nghiệp
FTI,0.0097,0.0002,-0.5769,-0.0424,0.1114,0.1436,0.0606,0.0903,0.7414,0.0079,Ô tô và phụ tùng
FTS,0.0948,0.1002,0.1083,0.1998,0.0867,0.0609,0.2136,0.0683,0.0655,0.0591,Dịch vụ tài chính
G36,0.0242,0.0105,0.0251,0.0401,0.0165,0.052,0.0096,0.0093,0.0081,0.0142,Xây dựng và Vật liệu
GAS,0.1803,0.1482,0.1899,0.2262,0.2303,0.1544,0.1471,0.224,0.1657,0.1634,"Điện, nước & xăng dầu khí đốt"
GCB,0.1149,0.0728,0.042,0.0386,0.0458,0.0156,0.0547,0.0246,0.0168,-0.003,"Điện, nước & xăng dầu khí đốt"
GDT,0.2751,0.344,0.347,0.3134,0.2182,0.2399,0.1864,0.2137,0.1011,0.1223,Hàng cá nhân & Gia dụng
GDW,0.094,0.0809,0.0856,0.08,0.091,0.0945,0.0965,0.1059,0.1904,0.2028,"Điện, nước & xăng dầu khí đốt"
GEG,0.0743,0.092,0.1345,0.0476,0.0448,0.0407,0.03,0.0238,0.009,0.0062,"Điện, nước & xăng dầu khí đốt"
GER,0.0573,0.0574,0.0058,0.001,0.0275,0.0126,0.0261,0.1274,0.0453,-0.146,Hóa chất
GHC,0.1809,0.2324,0.3386,0.25,0.0882,0.0743,0.0678,0.1071,0.1211,0.1273,"Điện, nước & xăng dầu khí đốt"
GIL,0.0862,0.1055,0.13,0.1163,0.1132,0.15,0.1262,0.1089,0.0102,0.0095,Hàng cá nhân & Gia dụng
GKM,0.1692,0.0367,0.1152,0.0207,0.0103,0.0445,0.0715,0.0326,0.1011,0.0096,Xây dựng và Vật liệu
GLT,0.2037,0.3246,0.3171,0.2092,0.1457,0.2431,0.3185,0.1667,0.0402,0.0742,Hàng cá nhân & Gia dụng
GLW,0.0156,0.0115,-0.0075,-0.017,0.0155,0.0471,0.0224,0.0325,0.0229,0.0628,"Điện, nước & xăng dầu khí đốt"
GMC,0.1055,0.098,0.1002,0.1675,0.1429,0.0446,0.062,-0.1776,-0.1324,-0.0817,Hàng cá nhân & Gia dụng
GMD,0.0615,0.053,0.0644,0.216,0.071,0.0515,0.0804,0.1164,0.2166,0.1207,Hàng & Dịch vụ Công nghiệp
GMX,0.1993,0.2617,0.2616,0.2125,0.2607,0.2715,0.1957,0.3664,0.1788,0.1341,Xây dựng và Vật liệu
GND,0.0862,0.2156,0.217,0.303,0.1512,0.1675,0.117,0.1355,0.0909,0.0586,Xây dựng và Vật liệu
GSM,0.0242,0.0386,0.0765,0.0158,0.0246,0.0423,0.0876,0.0988,0.051,0.0942,"Điện, nước & xăng dầu khí đốt"
GSP,0.1233,0.1207,0.1356,0.1164,0.0702,0.086,0.053,0.0639,0.0741,0.0748,Hàng & Dịch vụ Công nghiệp
GTA,0.0584,0.04,0.0474,0.0378,0.0431,0.0104,0.0411,0.0321,0.0337,0.0298,Tài nguyên Cơ bản
GTD,0.0159,0.0035,-0.11,-0.1717,-0.1506,-0.2028,-0.0117,0.0017,-0.0801,-0.2346,Hàng cá nhân & Gia dụng
GVR,0.0353,0.0473,0.0642,0.0405,0.0613,0.0827,0.0878,0.0782,0.0548,0.0738,Hóa chất
GVT,0.0251,0.0251,0.0459,0.118,0.1484,0.2336,0.2671,0.1622,0.0526,0.127,Tài nguyên Cơ bản
HAC,0.0563,0.058,0.0171,-0.0269,0.0185,0.0662,0.1142,-0.3532,0.1274,0.0104,Dịch vụ tài chính
HAD,0.1404,0.1102,0.1795,0.1374,0.1318,0.1075,0.0438,0.1379,0.0809,0.0854,Thực phẩm và đồ uống
HAF,0.0346,-0.1042,0.0665,0.0195,0.019,-0.0467,-0.0401,-0.0442,-0.1169,-0.0866,Thực phẩm và đồ uống
HAG,0.0139,-0.0347,0.0091,0.0002,-0.057,-0.0783,0.0098,0.0842,0.1225,0.0651,Thực phẩm và đồ uống
HAH,0.2348,0.1821,0.1443,0.1088,0.0843,0.0816,0.2043,0.2473,0.0785,0.127,Hàng & Dịch vụ Công nghiệp
HAI,0.0415,0.0325,0.0144,-0.0278,0.0063,0.0034,0.0029,0.0121,0.0376,0.002,Hóa chất
HAM,0.0891,0.0646,0.0522,0.0289,0.0375,0.0413,0.0483,0.0277,0.0384,0.0571,Xây dựng và Vật liệu
HAN,0.0347,0.0278,0.0435,0.0349,0.0168,0.013,0.0133,0.0263,0.0194,0.0273,Xây dựng và Vật liệu
HAP,0.035,0.0149,0.0185,0.0455,0.0278,0.0462,0.0567,0.006,0.015,0.068,Tài nguyên Cơ bản
HAR,0.0118,0.015,0.0237,0.0108,0.0059,0.001,0.0287,-0.0393,0.0336,0.0092,Bất động sản
HAS,0.0544,0.0704,0.1023,0.0297,0.0311,0.0169,0.0177,0.0044,0.002,-0.077,Xây dựng và Vật liệu
HAT,0.1579,0.4923,0.6123,0.4537,0.2472,0.1254,0.0207,0.2774,0.36,0.2434,Thực phẩm và đồ uống
HAV,-0.0976,0.1749,-0.1418,-0.0666,-0.0999,-0.058,-0.037,-0.0239,-0.0149,-0.6637,N/A
HAX,0.1019,0.1214,0.0662,0.0677,0.0358,0.1211,0.1765,0.1131,0.0199,0.0942,Ô tô và phụ tùng
HBC,0.0265,0.114,0.1215,0.0854,0.0455,0.0076,0.0101,-0.3498,-0.2318,0.1579,Xây dựng và Vật liệu
HBD,0.1355,0.1311,0.1279,0.1023,0.1189,0.1069,0.1327,0.1039,0.1258,0.1382,Hàng & Dịch vụ Công nghiệp
HBH,0.0328,-0.0213,0.0054,0.0035,0.0973,0.0598,0.0672,0.09,0.0047,0.0007,Thực phẩm và đồ uống
HBS,0.0035,0.0052,0.0075,0.0068,0.0191,0.0108,0.0204,0.0121,0.0423,0.027,Dịch vụ tài chính
HC1,0.0166,0.0176,0.0465,0.0217,0.0312,0.0408,0.0519,0.0513,0.0279,0.0337,Xây dựng và Vật liệu
HC3,0.1462,0.1318,0.4362,0.1375,0.1119,0.1402,0.1576,0.0564,0.0835,0.0522,Xây dựng và Vật liệu
HCB,0.0622,0.0433,0.0434,0.0383,0.0403,0.017,0.0251,0.0432,0.0415,0.0605,Hàng cá nhân & Gia dụng
HCC,0.1874,0.2579,0.201,0.1248,0.106,0.001,0.0213,0.1018,0.1062,0.147,Xây dựng và Vật liệu
HCD,0.047,0.094,0.079,0.0763,0.0476,0.0037,0.0946,0.0681,0.0842,0.0478,Hóa chất
HCI,0.1087,0.0627,-0.0829,-0.0112,-0.0181,0.2275,-0.0274,-0.0174,-0.0625,-0.1388,Xây dựng và Vật liệu
HCM,0.0727,0.0898,0.1051,0.1464,0.0646,0.0475,0.0513,0.0575,0.0386,0.0337,Dịch vụ tài chính
HCT,0.0406,0.0404,0.0429,0.0522,0.0463,0.0189,0.0171,0.0155,-0.0444,0.0056,Hàng & Dịch vụ Công nghiệp
HD2,0.1663,0.1541,0.2104,0.1191,0.0373,0.0042,0.0011,0.001,0.0001,0.0308,Bất động sản
HD6,0.1036,0.0351,0.0988,0.0397,0.0637,0.0124,0.2098,0.1706,0.0841,0.1659,Bất động sản
HD8,0.1002,0.1044,0.1006,0.1158,0.1089,0.0427,0.0421,0.1069,0.052,0.0167,Bất động sản
HDA,0.0764,0.0942,0.1003,0.0812,0.0654,0.028,0.0907,0.0069,-0.0395,0.035,Xây dựng và Vật liệu
HDB,0.0429,0.0329,0.0398,0.0609,0.0697,0.0508,0.0506,0.0695,0.0732,0.0984,Ngân hàng
HDC,0.0468,0.0518,0.0654,0.0752,0.1037,0.1072,0.1101,0.1183,0.0365,0.0173,Bất động sản
