symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,industry
AVC,0.0729,0.0652,0.1851,0.1028,0.0221,0.1416,0.2198,0.3321,0.2609,0.2738,"Điện, nước & xăng dầu khí đốt"
BAB,0.055,0.0412,0.0253,0.0358,0.0354,0.0292,0.0437,0.0433,0.0436,0.0483,Ngân hàng
BAL,0.139,0.1485,0.1171,0.0297,-0.0547,-0.018,0.0331,0.0787,0.0523,0.0474,Hàng & Dịch vụ Công nghiệp
BAX,0.1694,0.1648,0.1783,0.1751,0.4694,0.5207,0.2665,0.2638,0.1366,0.1263,Xây dựng và Vật liệu
BBC,0.1216,0.108,0.1188,0.1194,0.0951,0.0857,0.022,0.1297,0.0477,0.0642,Thực phẩm và đồ uống
BBM,0.1295,0.0633,0.1007,0.1003,0.1221,0.1066,0.0778,0.0695,0.0327,0.0264,Thực phẩm và đồ uống
BBS,0.0491,0.047,0.0142,0.0166,0.0181,0.0268,0.0372,0.0283,0.0241,0.0288,Hàng & Dịch vụ Công nghiệp
BCB,0.2445,0.1597,0.0919,0.2658,0.182,0.2869,0.2926,0.2427,0.2674,0.26,Tài nguyên Cơ bản
BCC,0.063,0.0709,-0.001,0.0257,0.0375,0.0489,0.0291,0.0233,-0.0894,-0.0034,Xây dựng và Vật liệu
BCE,0.057,0.0358,0.0741,0.0822,0.0899,0.0726,0.0415,-0.1377,0.0018,0.1568,Xây dựng và Vật liệu
BCF,0.2213,0.1976,0.1831,0.1631,0.2529,0.3156,0.1602,0.2861,0.1561,0.194,Thực phẩm và đồ uống
BCG,0.0844,0.0288,0.0255,0.0037,0.0355,0.037,0.0454,0.019,0.0058,0.0256,Dịch vụ tài chính
BCM,0.0183,0.0249,0.0302,0.0716,0.089,0.0679,0.0431,0.0507,0.0582,0.0541,Bất động sản
BCP,0.0137,0.0337,0.0571,0.1387,-0.0442,-0.2204,-0.0631,-0.0174,-0.0807,0.0047,Y tế
BDB,0.0506,0.0863,0.0594,0.0557,0.0892,0.1005,0.0892,0.077,0.0523,0.0385,Truyền thông
BDG,0.0247,0.2015,0.2565,0.3175,0.2812,0.2428,0.1294,0.2742,0.1629,0.2013,Hàng cá nhân & Gia dụng
BDT,0.0836,0.0712,0.1446,0.14,0.1371,0.1192,0.0614,0.0736,0.0375,-0.0167,Xây dựng và Vật liệu
BDW,0.0177,0.0387,0.0257,0.0525,0.0828,0.1006,0.1084,0.1782,0.1764,0.142,"Điện, nước & xăng dầu khí đốt"
BED,0.1116,0.1365,0.1596,0.458,0.1761,0.1785,0.1369,0.1089,0.1883,0.1721,Truyền thông
BEL,-0.0917,-0.0293,-0.0112,0.0559,0.2332,0.0805,0.1098,0.1037,0.1016,0.0403,Hàng cá nhân & Gia dụng
BFC,0.096,0.1259,0.1104,0.0832,0.0378,0.0705,0.1064,0.0538,0.0485,0.1852,Hóa chất
BGW,0.0074,0.0202,0.0291,0.0334,0.0299,0.0506,0.0544,0.0558,0.0609,0.0596,"Điện, nước & xăng dầu khí đốt"
BHA,-0.0113,0.0057,0.0336,0.0221,-0.0224,0.0337,0.0169,0.0979,0.0685,0.1073,"Điện, nước & xăng dầu khí đốt"
BHG,0.1763,0.1713,0.0369,0.0112,0.0128,0.0044,0.0011,0.0035,0.0077,0.0067,Thực phẩm và đồ uống
BHN,0.1297,0.1022,0.1192,0.0876,0.0922,0.118,0.0638,0.0931,0.0654,0.0733,Thực phẩm và đồ uống
BHP,0.0155,0.0186,0.015,0.0171,0.0218,0.0139,0.0104,0.0159,0.0159,0.0106,Thực phẩm và đồ uống
BIC,0.0612,0.0645,0.0684,0.0677,0.0953,0.1191,0.1549,0.1225,0.1638,0.1536,Bảo hiểm
BID,0.0559,0.0491,0.055,0.0664,0.0651,0.0537,0.0664,0.0757,0.0863,0.0806,Ngân hàng
BKC,0.1001,0.0109,0.0136,-0.0374,0.0417,-0.0703,0.0136,0.0094,0.0163,0.1838,Tài nguyên Cơ bản
BLF,0.0056,0.0115,0.0067,0.0026,0.0141,0.0035,-0.0316,-0.1208,0.0147,0.0006,Thực phẩm và đồ uống
BLI,0.0351,0.022,0.0341,0.0577,0.0615,0.0732,0.1133,0.1174,0.1063,0.0717,Bảo hiểm
BLN,0.0032,0.0229,0.0185,0.0235,0.0196,0.0015,0.0008,0.0099,0.0062,0.0088,Du lịch và Giải trí
BLT,0.1491,0.1278,0.0767,0.0478,0.0257,0.0979,0.049,0.0843,0.1197,0.0764,Thực phẩm và đồ uống
BMC,0.0596,0.0469,0.0491,0.0686,0.08,0.0737,0.0838,0.0981,0.106,0.1079,Tài nguyên Cơ bản
BMI,0.056,0.084,0.0767,0.0724,0.0797,0.0847,0.1092,0.1202,0.1245,0.0853,Bảo hiểm
BMJ,0.1115,0.1793,0.1486,0.1683,0.1871,0.2176,0.054,0.0226,0.0386,0.0311,Tài nguyên Cơ bản
BMN,0.061,0.0694,0.0779,0.091,0.0918,0.0744,0.0864,0.0886,0.0764,0.0747,Xây dựng và Vật liệu
BMP,0.2499,0.2611,0.1851,0.1702,0.1674,0.2068,0.0912,0.2594,0.3793,0.3594,Xây dựng và Vật liệu
BMS,0.0309,0.0188,0.1141,0.0578,0.0934,0.073,0.2312,-0.1356,0.0771,0.0632,Dịch vụ tài chính
BMV,-0.019,0.0122,-0.0128,0.0123,0.0049,0.0116,0.0172,0.0049,0.0083,0.0047,Thực phẩm và đồ uống
BPC,0.0737,0.1063,0.0742,0.0349,0.0289,0.0343,0.0303,0.0084,0.0087,0.0097,Hàng & Dịch vụ Công nghiệp
