Quarter,BSR,CNG,GAS,PGC,PGD,PGS,PLX,POS,POW,PTV,PVB,PVC,PVD,PVG,PVS
Q1.2020,-483.3019696855831,5.772744018782709,-22.987750304036293,-55.62860503797536,15.167891215588854,-244.4970401406672,-257.63032672080044,-82.44008343194497,-49.46771732651008,139.83281396121615,503.96452957477936,39.63650908357694,127.85596766365077,-355.31983258826085,-69.83371454392945
Q2.2020,-1708.0567229269427,-97.54226725993453,-41.29009027336723,0.920410078228011,-104.69878265164567,-84.1970148729693,-8.78446788921826,266.2889059779577,16.997290350773604,175.68096984128346,285.26168481568055,-108.46740546584101,-43.123721213558376,196.86664918132453,22.09561892294266
Q3.2020,-71.0514823146131,-79.13691107507778,-29.838986684443686,-14.345571658721681,33.274981868056116,60.30485878445477,-11.094425041527964,227.9935955241176,-84.96392527567282,-437.4504708221698,9.85795786654171,-29.643823726297313,43.272257518167144,87.56456258818666,216.53102013804113
Q4.2020,-17.306378024770826,54.4319339752792,-44.062504140010326,-15.724374624783504,31.109873709270275,188.49100895492626,-4.2950913556933745,151.06934973355945,233.03191661713987,-105.73888287985338,-125.83452394177945,256.0269726141185,-57.57059572660227,9.031882345796348,-80.7290044053215
Q1.2021,179.6670127389617,10.196327738602953,-13.002920212305222,104.00508886869024,-14.110964100162155,156.81640530541958,134.92976430941036,1363.358403442975,14.457249636275419,229.38502059473316,-120.82194871851199,-98.82845197206068,-527.5193514687794,142.80417161658985,29.987284496860944
Q2.2021,188.55866570963968,2966.285935471461,27.57380524733125,29.99759950848096,1734.8982828782393,589.1466646528766,39.055015076783825,-74.43310919306744,12.821388760351319,-144.3414016118756,-113.4533610718929,988.0838502510613,-90.10083657355266,45.546720900664695,-43.01482362157003
Q3.2021,175.13072496390055,129.03465421707818,19.47505648335719,-71.30603080936484,-5.122767974362009,-44.41571729450411,-91.0708247309419,-90.97205451006593,359.12195158529585,108.06300737226087,10.064693517573357,-51.67549180031582,72.58330581911545,163.3489724618546,12.233336266376476
Q4.2021,113.97003237279803,13.868845487580042,16.739429550861825,-2.8158165202490943,5.66067151683791,-45.22818389760032,-36.25660315996091,-66.19631663718062,-107.02945651472382,-124.4947349360847,205.21798723592332,147.16432971862423,-16.770587326843923,-76.71613122562535,14.262823607568647
Q1.2022,25.187911505788644,142.02161341215944,68.92726509947472,-8.025403934855142,105.14343495933456,153.10600830101822,-63.20065743515717,17.172706910899354,41.91325485008109,-105.0648692571259,141.2029900906835,0.0,45.85978008612311,-39.441602684589654,0.0
Q2.2022,501.24449832997817,69.29812106977774,124.8716793455564,-40.560048912018175,26.833041022353687,56.154859321839155,-101.80524064140137,89.47885616419296,-50.388571657135905,42.86794387386332,74.1011645035033,-50.702176950715504,-1072.9454967771012,-33.72686516059992,-95.55432714042253
Q3.2022,0.5349609840453629,69.95114136129142,25.30777928466048,206.70191905543288,19.143634666595524,5.012815580546602,29.889217812210138,-17.043253474309555,-86.1675262198842,67.42054533983406,55.37077491791831,0.0,-150.37554858295314,384.1051093897413,-13.091695709910056
