Quarter,BSR,CNG,GAS,PGC,PGD,PGS,PLX,POS,POW,PTV,PVB,PVC,PVD,PVG,PVS
Q1.2020,-22.01699247735292,14.959218450860037,-8.772368012998943,-3.1795907573979876,2.873047330225638,-13.327825429692194,-8.28463744512143,111.69455793221881,-5.455791856309862,70.6216918691721,5899.693823169654,-31.666247297737122,84.19925656450054,-9.240808808369822,-20.848914669349533
Q2.2020,-50.66738884259434,-15.462809401329967,-23.755454322490653,-26.068235390070786,-16.672063195655387,-38.855712734628476,-46.23395496624236,115.61091748575727,-21.983032646055328,-21.05211782453847,1521.874674338787,15.137679891843812,46.29552422068416,-16.54533535618413,14.327135159679075
Q3.2020,-60.465008333857064,9.90408849295676,-16.754181330219943,-8.07407349606133,-12.366950768955801,-25.542469245741234,-43.514246195171545,121.81762251312608,-22.861594340255447,-62.05804339158757,433.1954953869506,-9.567875418199796,18.833299382421753,5.424466134408182,28.359411417858887
Q4.2020,-40.68997620285173,33.92665431330371,-10.353247594333185,51.661835311455484,4.918434413711368,-20.981698690927292,-36.57963353732601,198.0184839263407,-13.807451754050664,-53.47503345846179,-94.7848019163064,17.054936773523856,-40.71707196310621,11.907693041819458,54.702846612296256
Q1.2021,16.995211863139463,19.70551827782853,2.787904071488373,10.085454697878008,12.155554883109113,2.0188582268769397,-0.5867241186319136,-16.1773576149964,-3.941465570060014,-74.4526536626028,-97.14375678902765,-22.90621734928406,-67.17962148034097,48.525216572534354,-19.19220480220153
Q2.2021,102.82538631168141,69.34524837905107,45.58005690146641,36.00851388606261,43.885265544202376,47.69565185170886,75.45981800513952,-39.13732490220123,3.3185980004188984,48.5692604112352,-93.14150444953094,37.754547092622346,-24.837458564639743,23.59290066820155,-44.47884630563957
Q3.2021,94.36266609650647,9.744974442774433,16.348206209554252,10.638286933306173,11.40009851261709,11.826313652635674,26.06878759469069,-59.797711880969096,-12.592845802935248,-31.31966856117628,-80.41974614112698,32.564147289802484,-20.430488368246074,17.738123069617263,-33.21827100500213
Q4.2021,101.47924406007287,30.609597683996398,29.967596202742865,-22.97630924290315,13.417052565486962,5.295235251777319,57.804137736329345,-20.873544353880323,-54.53218506841648,-45.16807154298036,-92.05490063874944,43.308666915735024,61.865152134471515,-1.857285446230732,-10.50291389196386
Q1.2022,65.2508964837824,55.412613943963116,51.897454463436965,17.146109148386405,30.037254129288392,31.83033367895266,75.1917064891219,99.72519781632143,-7.826950079011079,27.815506807866008,-63.77591365630947,0.0,108.3988887519006,-1.8863539773800897,0.0
Q2.2022,88.0522112652156,42.357271815493796,21.81209844327259,37.64181339990574,32.35478767488183,23.431067087746353,81.27227099904611,7.023567650432534,-6.287908337163121,-66.35960629283801,-71.70799210679478,27.783874426423587,37.07977364370734,42.22331125135754,24.471063728732737
Q3.2022,123.77450850720268,55.41520503295841,31.20416517559021,27.44853778951591,36.28591553085005,17.68261680634331,112.78646717095225,-34.82359629270056,13.08753273071343,-1.4569216326203787,62.44011561473749,0.0,22.804574021181185,11.574954214233871,-12.069677427478249
Q4.2022,17.111363842415177,4.080426994505095,9.292121574250869,0.9379613906950145,4.6175260886227,6.857127883209417,58.73227997775763,-56.5795866470726,113.1264635023422,-26.287120832502204,586.00536618107,-12.16752465443084,9.351830082483659,5.060098062663748,15.632248928923206
Q1.2023,-2.061920771267038,-25.998234807641584,-20.512697838741108,-1.7713577733306376,-13.937531431104258,-19.655100855611536,0.6193336561184353,-25.7698099172146,5.140452953836426,18.893060972243067,-85.10386568856971,37.70991852281191,7.047318460477703,-21.11139867767352,-1.7368049327561519
Q2.2023,-35.73524322561503,-29.8183928023045,-13.057029655183294,-26.39449483926223,-18.09965990888324,-28.29682021130178,-22.62901426623383,-27.35403584736778,12.95167843804276,98.4446977116743,1005.7535024854812,-15.978698509427074,-6.830923613476542,-24.12479252579045,23.607461434601966
Q3.2023,-4.58546389968713,-26.036352199099216,-8.942817707449324,-17.60767259733273,-13.64666950656053,-10.003994568595578,-1.738159445208062,21.53732668247403,-5.994904184374784,8.512148565004692,167.0406365803537,28.20194908020811,11.224091797707205,-4.029416862484207,19.214161688381054
Q4.2023,3.7175566919954566,-19.429627254192074,2.501657069147443,1.5445314994794521,-1.4262839996684846,-2.456233723197728,-12.407067576471869,45.486066998815105,-16.39916616073681,-30.64572508766184,1396.6613205517053,6.2016941983353675,19.815490119051276,38.145103478804714,27.882615755361208
Q1.2024,-9.911817824720401,-14.606299896600111,9.90133180215629,4.649502464972591,0.04601493254435704,0.4644021376154171,11.374290306473405,17.978679284020377,-15.910719863807909,-52.33304842656942,20739.99560999054,-39.59520019375916,43.117504061699705,2.9403851584815994,0.13529612925246404
